"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TAVG","TMAX","TMIN","TSUN","WDMV"
"USC00049087","TUSTIN IRVINE RANCH, CA US","33.7025","-117.75389","71.6","1993-05",,"0.00","0.0","67.4","79.1","55.7",,
"USR0000CSHQ","SHADEQUARTER CALIFORNIA, CA US","36.5672","-118.9556","1240.2","1993-05",,,,"59.5","69.3","49.7",,
"USC00040029","ADIN RANGER STATION, CA US","41.19334","-120.94458","1280.8","1993-05",,"1.13","0.0",,,,,
"USC00044628","LA CRESCENTA FC251C, CA US","34.2222","-118.2377","470.9","1993-05",,"0.07","0.0",,,,,
"USC00043417","GILROY, CA US","37.003","-121.5608","59.1","1993-05",,"0.83","0.0","64.9","78.9","50.8",,
"USC00046926","PINNACLES NATIONAL PARK, CA US","36.4819","-121.1822","398.4","1993-05",,"0.18","0.0","60.8","80.1","41.5",,
"USW00023237","STOCKTON AIRPORT, CA US","37.88997","-121.22637","8.3","1993-05",,"0.83","0.0","66.8","79.4","54.2",,
"USW00023232","SACRAMENTO AIRPORT ASOS, CA US","38.50659","-121.49604","5.9","1993-05","8.1","1.14","0.0","64.6","77.9","51.2","24660",
"USW00023110","LEMOORE REEVES NAS, CA US","36.33333","-119.95","70.7","1993-05","7.8","0.42","0.0","69.9","85.4","54.4",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","37.61962","-122.36562","3.2","1993-05","13.0","0.55","0.0","62.1","70.6","53.7",,
"USW00023233","SALINAS AIRPORT, CA US","36.66352","-121.60928","22.3","1993-05",,"0.78","0.0","62.0","72.8","51.1",,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","41.79612","-123.37469","348.1","1993-05",,"3.98","0.0",,,,,
"USC00045941","MOUNT HEBRON RANGER STATION, CA US","41.78339","-122.0446","1300.0","1993-05",,"1.21","0.0",,,,,
"USC00043647","GRIZZLY CREEK STATE, CA US","40.4863","-123.9088","125.9","1993-05",,"6.99","0.0","57.7","65.5","50.0",,
"USC00044735","LA MESA, CA US","32.7675","-117.0233","161.5","1993-05",,"0.00","0.0","68.0","77.3","58.8",,
"USR0000CPAR","PARKFIELD CALIFORNIA, CA US","35.8989","-120.4319","467.9","1993-05",,,,"61.0","78.7","43.4",,
"USW00093101","EL TORO MCAS, CA US","33.66667","-117.73333","117.0","1993-05","4.0","0.01","0.0","68.1","77.4","58.8",,
"USC00040379","AUBERRY 2 NW, CA US","37.0919","-119.5128","637.0","1993-05",,"0.51","0.0","65.9","79.5","52.3",,
"USS0019L38S","LEAVITT LAKE, CA US","38.28","-119.61","2931.3","1993-05",,"2.20",,"39.6","49.4","29.8",,
"USC00040136","ALPINE, CA US","32.8358","-116.7774","516.6","1993-05",,"0.09","0.0",,,"52.9",,
"USC00040014","ACTON ESCONDIDO CANYON, CA US","34.4938","-118.2713","863.5","1993-05",,"0.00","0.0",,,,,
"USW00093104","CHINA LAKE NAF, CA US","35.686254","-117.690911","680.0","1993-05","5.6","0.32","0.0","75.4","91.9","58.9",,
